date,1. open,2. high,3. low,4. close,5. volume
2020-03-10 14:05:00,273.09,273.58,272.83,272.92,86950.0
2020-03-10 14:06:00,272.92,272.97,272.36,272.39,86546.0
2020-03-10 14:07:00,272.43,273.5606,272.39,273.42,81541.0
2020-03-10 14:08:00,273.45,273.46,272.76,273.3,68496.0
2020-03-10 14:09:00,273.21,273.71,272.92,273.6699,88188.0
2020-03-10 14:10:00,273.62,274.65,273.42,274.54,171972.0
2020-03-10 14:11:00,274.5,274.77,273.81,274.4325,108020.0
2020-03-10 14:12:00,274.4882,274.94,274.3,274.59,100100.0
2020-03-10 14:13:00,274.625,274.9,274.55,274.85,56886.0
2020-03-10 14:14:00,274.8533,275.4,274.41,274.6,124139.0
2020-03-10 14:15:00,274.6257,275.3001,274.48,275.282,70353.0
2020-03-10 14:16:00,275.2,275.39,274.6,274.695,105103.0
2020-03-10 14:17:00,274.75,275.06,274.4799,274.69,55795.0
2020-03-10 14:18:00,274.765,274.96,274.46,274.76,49811.0
2020-03-10 14:19:00,274.83,274.93,274.41,274.59,40786.0
2020-03-10 14:20:00,274.52,275.0,274.52,274.83,62085.0
2020-03-10 14:21:00,275.0022,275.44,274.52,275.11,82511.0
2020-03-10 14:22:00,275.19,275.31,274.78,275.016,49132.0
2020-03-10 14:23:00,274.95,275.1831,274.33,274.5294,69228.0
2020-03-10 14:24:00,274.58,274.66,273.6001,273.991,113129.0
2020-03-10 14:25:00,274.07,274.07,273.27,273.43,68932.0
2020-03-10 14:26:00,273.36,273.725,273.27,273.69,43440.0
2020-03-10 14:27:00,273.68,273.73,273.27,273.64,53965.0
2020-03-10 14:28:00,273.6,274.41,273.5,274.16,71484.0
2020-03-10 14:29:00,274.1887,274.885,274.09,274.5954,70180.0
2020-03-10 14:30:00,274.75,275.53,274.75,275.1145,122476.0
2020-03-10 14:31:00,275.12,275.5,274.82,275.4543,68201.0
2020-03-10 14:32:00,275.4699,276.0,275.18,275.708,101630.0
2020-03-10 14:33:00,275.65,276.02,275.46,275.7411,67486.0
2020-03-10 14:34:00,275.79,276.24,275.763,276.04,101584.0
2020-03-10 14:35:00,276.0996,276.5,276.04,276.19,85047.0
2020-03-10 14:36:00,276.28,276.79,276.22,276.79,50826.0
2020-03-10 14:37:00,276.71,276.81,276.15,276.8035,69292.0
2020-03-10 14:38:00,276.796,276.81,276.1,276.15,74240.0
2020-03-10 14:39:00,276.17,276.75,276.14,276.3039,85527.0
2020-03-10 14:40:00,276.29,276.73,275.85,276.05,96348.0
2020-03-10 14:41:00,276.08,276.85,276.0,276.614,89187.0
2020-03-10 14:42:00,276.62,278.0,276.55,277.935,222569.0
2020-03-10 14:43:00,277.9231,278.12,277.64,277.87,155179.0
2020-03-10 14:44:00,277.87,277.976,277.26,277.976,88072.0
2020-03-10 14:45:00,277.98,278.51,277.7702,278.1947,177871.0
2020-03-10 14:46:00,278.224,278.325,277.66,278.21,103358.0
2020-03-10 14:47:00,278.21,278.6099,278.0,278.47,124485.0
2020-03-10 14:48:00,278.52,279.14,278.47,279.12,166527.0
2020-03-10 14:49:00,279.09,279.1598,278.36,278.58,116295.0
2020-03-10 14:50:00,278.54,279.14,278.31,278.8543,114247.0
2020-03-10 14:51:00,278.89,278.95,277.6396,277.83,119012.0
2020-03-10 14:52:00,277.8559,278.05,277.4,277.92,96496.0
2020-03-10 14:53:00,277.9,278.25,277.52,277.86,101771.0
2020-03-10 14:54:00,277.88,278.1199,277.45,277.9001,68289.0
2020-03-10 14:55:00,278.07,278.63,277.83,278.5695,103537.0
2020-03-10 14:56:00,278.6,278.84,278.02,278.61,89577.0
2020-03-10 14:57:00,278.649,278.68,277.94,278.17,89975.0
2020-03-10 14:58:00,278.23,278.31,277.45,277.55,118014.0
2020-03-10 14:59:00,277.58,278.3919,277.52,277.99,78491.0
2020-03-10 15:00:00,278.12,278.54,277.94,278.26,77416.0
